最满意的一点,最不满意的一点,空间,动力,操控,电耗 ,舒适性,外观,内饰,Column11,Column12
动力好，感觉应该有3.0T的动力。而且比较平顺。操控精准。指哪打哪的感觉。,做工差。后排座太直了，不适合长途乘坐。建议厂家优化一下后排。55度电池太小了。没有长续航是个杯具。,空间空间一般。特别是后排。重点提一下，太直，对腰子不好。后备箱一般。能放倒是个惊喜。乘坐空间：前排还可以。主要是后排空间比...,,,,,,,,
Tesla Model 3国产后的价格下调了，更亲民大众接受度更高了，做工相比进口的略好一些了，纯电车提速真的迅猛，减速有能量回收功能降低能耗，减少电池消耗率，前机盖和后备箱都有储物能力，目前使用看是低碳环保，使用成本和保养成本低廉，纯电车0.2元/km，燃油车0.5-0.8元/km，油电混0.4-0.6元/km，纯电车无需任何保养，只需...,,,,,,,,,,
加速度，电车当然是加速度了！相对来说销售方式还是比较好的，没有其他品牌那么多的套路，要就要，不要就拉倒…,做工差的一批…买这个车真的不要太在乎她的做工，纯看运气…,空间空间：空间方面还是不错的，跟五系比不了但是也不会觉得很挤…家人乘坐评价：相对五系，爸妈倒是觉得特斯拉的坐着舒服??五系的倾斜角度有点大??但同龄人都觉得是五系舒服。观点不同吧，我们感受的是座位的软硬程度，老一辈还会去考虑坐姿啊、长途啊等等一系列条件后备厢容积：后备箱空间很大，这个是一个很棒的点！后排带放倒（傻子五系不给放倒…）运东西很方便??,动力动力：电车动力肯定足啊！！！读书的时候经常开我哥的c63s，买了五系一直没有这份冲击肾上腺素的激情，这...,,,,,,,
目前来说最满意的第一就是model3外观非常的流线。第二就是内饰呢这个因人而议，当然能选择这个车的，肯定喜欢这个内饰，简约又不简单！中控智能大屏就像一部大IPAD。功能时尚科技感满满。自已又把所有选装加上了(红色车漆 19寸轮毂 白色内饰），所认颜值超级好看。,现在使用已经有1000多公里，要说最不满意的就是特斯拉应该严厉打压下那种车黑。不然让我们这种车主开在路上会遭人指指点点。不过买这个车的时候，这种情况就考虑好了！新车没有不满意的，一切都是香的。,空间车的长茺虽然不到4米7，但是这个车没有发动机从面轴距长，车间空间相对于我的X3，我觉得不更大！而且后排没有中间那个大鼓包。后排小朋友相当喜欢,动力虽然是标续版，...,,,,,,,
这车买之前说实话都没有试驾过。整个购买经历就和买手机差不多。因为已经不是家里第一辆车，所以没有选择空间更大的model Y，更多的是想把上海牌照能落实好，所以买了最入门的版本，什么都没有选；但是车子上手之后的各方面体验，还是给我不少惊喜：1.动力和操控：动力非常优秀，路上只要是汽油车，没有几辆是M3超不过去的，当然刚开始提车的时候不敢特别...,,,,,,,,,,
2月27日下订 5月22日提车 价格透明 服务好 从订车到提车一系列都很方便 完全没有常规购买油车的经历那些坑 车辆外观好看 轮毂超帅 驾驶感受好 提速快 过弯稳当 过沟沟坎坎也没有很硬 较为舒适 刹车一点毛病都没有 稳稳的 日常使用有自己的充电桩成本较低 基本需要的配置都有 满足日常驾驶没问题 音响还不错 目前提车刚几天 还没有深度体验 上下班代步的话舒适模式足矣 缓行模式和家里其他油车一样 能够适应 总之整体体验不错 值得购买 一直在等新电机迟迟不上 赶在腰托简配前赶紧提车哈哈,新车味道大 漆面薄 花了8千选车漆还是不太行 内饰简约个人比较喜欢 但是用料感觉还是差点意思 尤其后备箱 太粗糙了 车机接口基本上都是typec 应该再来两个usb就好...,,,,,,,,,
车机无敌哈 配置全 是要买来吹空调没啥挑剔的 运动感还是强 智能化高,有异响有异响有异响 减配也不满意吧.空调进风口 滤芯都tm省了 后排出风口单阻隔也没有 不过都是些小问题.,空间空间：我就俩人做不到后排乘坐空间：185cm 在前排没压力 很宽敞 后排对180以上的不是很友好.我也能坐 但不怎么舒服.其他没什么比迈腾差不多,动力动力：动力情况没什么好说的 一个字傻快 电车嘛 扭矩随叫随到,操控操控：三系以上 718左右 多的不说没意义哈哈,电耗电耗：暴力17 轻松13 平均14左右 凑合开 第一箱电 温州开始到丽水 前前后后高速开了50+150 两百km 到丽水开了120多km表现还剩2...,,,,,
1，驾驶感觉好，加速超快，在省道开车时候，超车比较安全2，外观超喜欢，真的，外观太喜欢了，3，有电动尾门，开关后备箱方便。4，费用真是省，家里安装了充电桩，每天预约22点15充电，一度电才0.288元，平均一公里差不多就是五分钱！比油车省10倍，这车太划算了，5，辅助驾驶功能，比较满意，在高架开车可以开启，电门太高，自动驾驶就不会那么疲劳...,,,,,,,,,,
如丝般顺滑的动力响应，激情澎湃的运动模式，轻松安心的辅助驾驶，简单便宜的日常使用。,车机经常黑屏，甚至跑高速也会突然黑屏，影响驾驶安全。,空间这次长途旅行三个人都很舒服不挤，高速中途充电的时候都可以躺下来眯一小会儿。乘坐空间：我身高178cm，喜欢躺着开车，座椅调到最低，偏后面，头部空间感觉不压抑，后排坐两个人正好，腿部空间也可以接受。储物空间：前排中间扶手箱很好用，很深，副驾的手套箱确实是小，只能放一双手套感觉。横向对比：之前开5系长轴，空间那确实大些，座椅也宽大，级别不同，定位不同了。现在再开5系，感觉在开小船。全家出游时：这趟旅行，大大小小几个包，一个箱子，带回来好多伴手礼和十几颗大椰子，问题不大！日常也够用了。...,,,,,,,,
价格合适、加速爽快、省心省力、自动驾驶比想象中好、21款比20款好很多。,做工比20款有提高，但是还是有问题，例如玻璃下来吱吱响。。。后排座位低，离地非常近 我175坐着大腿碰不到椅子面，异味很大 你们说奥迪异味大 我感觉它更大。可能是车小的缘故，底盘、避震稳定性差点，乘坐谈不上舒适。,空间以不到4.7米的车身来算，空间还是比较大的。乘坐空间：乘坐空间比A4大，不能和A6比。因为车头和车尾短，空间反而变大。后面纯平也给出不少空间。市场买菜送小孩没问题。储物空间：这个比较多，总储空间比A6都大。不过前备箱没有特别方便的开门方式，要么手机要么进车里，感觉不是特别实用。车内没有变速箱后储物空间特别深。不过手套箱真的小，真的只能放手套，A...,,,,,,,,
"电车最满意的肯定是使用成本，每天日常通勤80公里，之前开的油车一台3系2.0的，正常是每个周一箱油，一个月也是一千多的油费！电车的用车成本就太低了，在订车的时候，在天猫买了一个充电桩，之前价格是6000，好像最近又涨价回了8000，一周充两次电，都是设定的晚上一点钟开始，早上出门都是420的里程
另外就是驾驶感受，完全无顿挫，无噪音，动能回收适应以后，几乎可以在任何情况下不踩刹车，因为之前开3系，底盘相对调效也是比较运动的，也就是比较硬！Model3就更硬了，开惯日系车，美系车的车友可能要适应一段时间！驾驶感受就是，开的人很爽，坐车的人非常不爽，特别容易晕车！","真的还没有不满意的，就车来说，续航虽然300来公里，都还可以！
真要找个不满意的理由可能...",,,,,,,,,
1、加速感，3.3s百公里加速真不是吹的； 2、驾驶感，重心偏低，操控起来非常有自信； 3、外观，从某个角度看特别像跑车，无框车门真的帅； 4、智能化，中控屏像一个智慧大脑，掌管一切； 5、运动悬架，过坑坑洼洼的时候特别扎实。,1、隔音差，基本上车速高于80就需要音响开大声一点了； 2、信号差，车载4G网络信号经常丢失； 3、储物空间少，自己买了个储物格，方便放点餐巾纸和钥匙； 4、OTA升级较慢，这点纯个人吐槽，我3.23提的车，系统居然还是2020的。,空间空间：前排基本上很宽敞，平时就一家三口出行，后排也不会局促，但也不是特别宽裕，只能说中规中矩。,动力动力：在轻松模式下踩电门比较费力的，在运动模式下，动力随叫随到，但是容...,,,,,,,
25万的车子，配置还是比较高。电动尾门 座椅加热 自动驾驶 恒定扭矩，动力充足。,1、大屏幕电机目前已经发现了两次黑屏重新启动，虽说不会影响安全，但是还是会有些担忧。2、续航是没有官网资料宣传的那么多的，3月份杭州的天气，大概是打了7点几折的样子(开空调)。3、车钥匙都不送一把，平时开车锁车，总是会觉得缺少了点仪式感。4、动能回收无法关闭，单踏板模式，好处虽然有，但是还是希望把选择权交给客户。5、如果能将几个高频的需求，抽离出来做几个物理按键会更好了。,空间空间：大概率场景都是一个人驾驶，或者前排乘坐，家里父母都在外地，暂时也没有小孩子。所以乘坐空间是没有需求的。后排坐人问题不大，长时间可能会不舒服。,"动力
...",,,,,,,
"1. 外观，我买的冷光银车漆，特别适合2021款，因为这个新款的很多地方取消了镀铬的银色装饰，做了熏黑处理，所以冷光银或者黑色的车漆和这些熏黑部件更搭配。
2. 动力
3. 动能回收，这个模式下，只要松电门，就会自己刹车，基本不用踩刹车了。从合肥提车回家一路300公里，穿过市区都没有踩刹车，刚开始不适应，开了半个小时就习惯了这个节奏，也不...",,,,,,,,,,
超快的加速感，漂亮的外观，杭州遍地超充，充电方便，最关键是不需要摇号，而且不限行！,底盘太运动，路况不好的时候太颠，隔音只能说一般般，跟我的林肯比差距太大！,空间空间：空间也就是一般中型轿车的空间，不能说很大，但是作为接送孩子的车来说够用了☆ 空间设计亮点：后排地面纯平，点赞后备厢容积：后备箱超大，还有前备箱，储物空间很大,动力动力：动力必须满分，来过的都知道，红绿灯各种秒,操控操控：操控一流，确实很运动，标准的大玩具☆ 车道保持辅助系统：很好用，高速开的太省心☆ 主动刹车：有过一次紧急刹车，挺好用,电耗电耗：我比较喜欢理解驾驶，电耗偏高，充电一个礼拜充一次，能跑三百五以上...,,,,,
1.视野好，前面没有仪表盘，看前方得很清楚很有信心。2.加速块，加速流畅且舒服。3.无框车门，很有feel4.充电方便且速度快，特斯拉超充很多在五星酒店，环境好。,1.乘坐的人可能不太有安全感，窗上车架的地方应该和传统车一样有个拉手。2.续航焦虑是个大问题，市内没问题，长途的话不敢试。,空间其实储物空间还可以，乘坐空间也够用，后排地台是平的，也没有那么挤。当然和迈腾、凯美瑞这种非常方便家用的车没法比。对于一辆驾驶为主的车，这样的乘坐空间很不错了。,动力动力不用说了，完全够用。平时都用轻松模式，标准模式下，在市区里开还有点慌呢。,操控转向有三种力度可以调，从轻到重，各个都非常地精准。转弯也很有信心，毕竟后驱车...,,,,,,
加速，只要愿意踩电门，街上的车都是弟弟。操控满分，方向盘、加速过程如牛奶般丝滑，车身没有任何抖动；加速没有升降档的迟滞和顿挫。音响满分，听歌很爽。座椅满分，很软，比英菲尼迪Q50L、宝马3、5系、奔驰C都软。车机系统很好用，逻辑简单、清晰、易操作。最新的导航也加入了和高德一样的路口车道提示。,车门单薄，没有豪华车的厚重质感；车漆比较薄，比宝马薄很多，但红色多涂层也不至于轻易留下划痕；,空间空间：前排后排都很舒服，我183，后排坐成人没问题头部空间也很可以。,动力动力：3.3秒，眩晕的推背感。不到40万，能拥有百万级豪车的加速体验。,操控操控：开过宝马135系，操控不如特斯拉。这样比较对油车不公平，但是事实。...,,,,,,
大小合适的车身，零百三三秒多的性能，超美的车身线条，而且，不限号,调头半半径太大很不方便，比上台车凯迪拉克cts，比宝马x5这些车调头半径都大,空间空间：我177，几乎一个人开，副驾驶都不怎么坐人，所以空间足够了，后排，完全不考虑，要是有两门版本我肯定会选的。前后备箱很实用，只是前面的需要手动关闭，每次都弄一手灰，这点改进些就好了。,动力动力：试过的都知道，反正现在朋友同事都不愿意做我的车了，都说头晕。我是一直踩一直爽！,操控操控：还不错，指向比较准，悬架支撑也可以，激烈驾驶基本跟得上操作。有机会的话下赛道试一下再评。,电耗电耗：压根不在乎电耗，充电很方便。哨兵开启大概每小时损耗一公里。大城市...,,,,,
最满意的自然是远超同价位所有车的加速性能。已经不能用推背感来形容，用朋友的话说是飞机起飞时的失重感和眩晕,续航能力还是达不到参数上标的608公里，跟夏天和开空调有关？还得继续实测！能到550以上就满足了。,空间空间：家人身材都是中等，空间完全够用。当然不能跟5系这样的C级车对比。乘坐空间：我们一家人出行完全足够。储物空间：后备箱和前备箱加持，自驾游也是够了。,动力动力：高性能版，这么大的扭矩确实厉害。轻松模式的时候还比较慢悠悠。切入运动模式之后，直接很暴力，感觉像被踹了一脚。加速表现：运动模式完美的提速感，轻松模式还是比较温柔。希望可以多几个提速模式。这样更有体验感。还没有跑过高速，期待高速上100时速以上的...,,,,,,,
上下班开车走环路太轻松了，辅助驾驶功能满分。比之前开了4年的新能源好了一大截。,没啥不满意的，非要说就是玻璃车顶吧，确实是热，需要自己贴防晒膜,空间确实有些小 但是还是要说 比我之前的那辆新能源要大...我确实没开过好车,动力轻松模式相当于我原来旧车的运动模式，标准模式推背感简直起飞,操控...,,,,,,
操控啊，加速啊，省油省钱啊，买这车不就是奔着这个买的吗。开着还是很智能的，跟传统汽车比起来真的不一样的感觉，如果家里油车比较多，为什么不买个这个车玩玩呢。,使用AP时候会突然减速。。自动泊车有点笨，傻乎乎的。没有仪表盘看中控大屏都快给我颈椎病治好了。,空间前排还好，后排俩人把，仨人没试过，应该很挤。储物空间：前后背箱真心挺大的，很实用，比普通轿车强多了,动力加速和操控真心没得说，可能是因为我以前是开吉普车的吧加速表现：加速反应十分迅速。没有一丝顿挫感，也没有迟钝。丝一般顺滑。跑高速：告诉上直接打开AP驾驶，真的很轻松。长时间跑的话，会很省心。,操控加速和操控真心没得说，可能是因为我以前是开吉普车...,,,,,,
提车一直都是运动模式，3.3秒提速，实测基本都在3.5-3.8s，方向盘指哪里打哪里，红绿灯超车很爽，随心所欲,热泵的异响，有点难受做工什么，还可以接受，目前没啥问题,空间车内空间和家里霸道汉兰达没得比，行李空间还可以，还有前备箱，平时两人出行也足够，后排没坐过，没太关注,动力快，提车一直都是运动模式，随便一脚都是3秒+，市区红绿灯想怎么超车就怎么超车，虽然达不到3.3s有点遗憾,操控原产避震有点拉夸，侧倾严重，改了艾巴赫短簧过渡目前改了大6活塞alcon rc6 ，艾巴赫前后防倾杆，短簧，订的BBS LM和ohlins减震还在路上,电耗实表，日常驾驶和特斯拉车机里程基本一致，很满意上山暴力驾驶...,,,,,
最钟意特斯拉的他独有的气质和款式，奈何他引领了整个新能源行业，后来的电动汽车，不管外观，内饰还是销售模式，都在向特斯拉学习。,天窗没有遮阳帘是真心觉得唯一的缺陷，玻璃和门之间的缝隙偏大。,空间空间相对于毛豆3这个轿车来说，跟一般的同价位轿车来比，绝对没问题。储物空间：很多人说储物空间小，哪里小了？副驾驶手套箱可以上锁，还有前盖箱，后备箱也没问题，以前油车放备胎的地方现在也可以储物，为啥还有人觉得小。放行李：正常的行李存放不输同级别车型。,动力加速表现：动力非常棒，3秒破百没问题。今天高速跑了150公里，实际消耗续航公里数200公里，高速费电一些？跑高速：跑高速很平稳，建议关闭自助驾驶里面的辅助紧急制动，否则会影...,,,,,,,
家里有充电桩，充电便宜，随便开，不担心使用成本；电车的特性就是加速度快，推背感十足；特斯拉的AP是真好用，谁用谁知道,做工方面还有待提升：外覆件的缝隙、平整度、喷漆工艺等等；减震调教偏硬，座椅包裹性不足，久坐容易腰酸。,空间空间：溜背，导致后排头部空间有些局促，腿部空间还行,动力动力：电车的特性，不管什么速度都是最大扭矩输出，很直接。特斯拉用的是高速电机，好评,操控操控：方向指向精准，几乎没有虚位；减震偏硬，侧向支撑很好，就是没有宝马3系的那种高级感，过减速带比较难受；前制动分泵是布雷博的，制动效果出色，只不过刹车踏板偏硬,电耗电耗：和汽油车一样，温柔开还是能开挺多公里数的，大脚电门还是挺耗电的。具体没在意，...,,,,,
动力！动力！动力！悬挂！刹车，电尾门。自动驾驶。轮毂款式。,续航还是不太够，暴力驾驶掉电还是很快。如果能达到标称的600就很满意了。,空间空间：本人一米八二 前排自己合适的位置坐后排不顶腿。坐四个人舒服 后排中间横向空间比较窄，但是地板事平的 短途出行也不会太难受 毕竟车子不到4.7米,动力动力：百万以内没有对手 电动牙刷没有延迟 随叫随到,操控操控：方向精准，悬挂支撑力度很好。重心低。操控真的和动力一样没的说,电耗电耗：实际续航350到400 ??驾驶习惯和环境,舒适性舒适性：悬挂软硬适中，支撑好回弹力度合适。座椅也很柔软，长时间驾驶不会腰酸背痛。,外观外观：21款黑化以后真的好看 高性...,,,
加速感！红绿灯起步每次都是第一。还没试过赛道模式，下次试一试。,还不给我推送升级软件！！提车版本太低了。想试试OTA后新版有啥功能？？另外的确胎噪比较大，胎压放到2.8，还是有点大。后面想办法看看有没有隔音的配件。,空间买来上下班，不考虑空间，后排我还没过没啥感觉。就是感觉有个前备箱很新奇。,动力没的说了，相信一般路上很少能超过他的。除了超跑，超跑机会也不大。前几天有个奔驰GLC和我追了一下，基本上红绿灯过后，都只能看到3P的尾灯。,操控很不错，就是方向盘有点硬。指向非常精准，开过的人都知道，啥叫贴地飞行吧？,电耗电耗没啥感觉哦，充电的时候，有个特斯拉车友说我这个电耗有点太高。好像是270？,舒适性...,,,,
动力爆炸，每一脚地板电下去都感觉是被人狠狠的一脚踹出去的，你如果没有开过4秒以内的车 那这个车的第一感觉觉得会让你头晕目眩。,目前没啥特别不满意，就电掉的快吧 毕竟一直是运动加赛道模式。,空间还可以吧，不像传统中级车那么宽敞，但个人感觉也是够用的，在说了买3P的肯定家里也不只这一台车，买的就是个性能，还考虑啥空间，反正就一句话，只要你家不全部是1米9以上的高人，那在怎么也能给你装的下，在说电车一共就跑400多公里，在挤也就2个多3小时的事都能忍受的。,动力加速只能说相当牛逼了。城里城外没人敢蹦你了，有人崩你 你可以让他连你的尾灯都看不见！,操控3P还是高了点，软了点，但是市区足够了，如果下赛道，还是需要改。,电耗...,,,,,
"操作灵活，fsd体验不错
电动车为了上海牌照","还没发现 续航比预期差
噪音做的不好，无框车门等只有20万车水平
建议上主动降噪，相信特斯拉软件和硬件实力",空间空间够用，平时两人，前后备箱比一般车大乘坐空间：我完全够用,"动力3.3不是说说的 
非常流弊
60km内秒杀一切","操控开起来非常不错
像玩具车
操控高性能和三系差不多，加速轻盈，
三秒多加速秒杀99的车",电耗还没具体看，但是续航只有400多，500的样子,"舒适性噪音偏大 主要是风噪胎燥
类似20万车子
无框车门","外观不错
2021款轮毂，熏黑装饰条都是我想要的","内饰我比较喜欢，很简洁
座椅没其他40万车高级",性价比...,
提车地点在扬州特斯拉中心，就是城北汽车城这边，东路这边第一排，还是很好找的。满意就是产品和服务确实名不虚传，很棒的体验。就是真的没啥东西和礼品送，好难受??。不过冲着产品去的，罢了罢了。,提车没有什么脚垫赠送，也不贴膜，这些都要自己花钱的,空间空间：空间销售说有一个立方，实际看真的不小。我一个单身汉肯定够用的，妥妥的。,动力动力：开过以后，家里面的雅阁真的不香了，一开始考虑宝马的，说实话操作真的没小特好。,操控操控：转向准，过颠簸路面，一体性不错。感觉很扎实，有安全感,电耗电耗：冬天没有经历过，夏天我看大概400左右，激烈驾驶350妥妥的,舒适性舒适性：舒适性前排不错，后排没有前...,,,,
第一就是外观、第二就是舒适、第三就是智能,内饰比较简陋，后排比较小，个子高坐着不舒服,空间个子比较高，总体来说空间不太够，但也还行,动力提速表现良好，动力输出强劲，但是肯定不如奔驰宝马奥迪,操控转向良好，指向明确，转向良好，指向明确，,电耗电耗偏高电耗偏高电耗偏高电耗偏高电耗偏高,舒适性座椅很舒服，隔音好，还行，比较舒适吧啊嗷嗷,外观外观不错，就是流线型这种有点像iPhone,内饰内饰一般内饰一般内饰一般内饰一般内饰一般,性价比相当高 价格和同配置的比基本上便宜了一般 主要品牌价格没有其他品牌值钱,为什么最终选择这款车横向比较G...
外观一眼就看上了，太帅气了，而且动力还贼棒棒,其他的还没有发现，选择它就是最好的，就是等的时间太久了,空间空间：我178，正常坐完，后面两拳吧，正常也不做后排。关键是坐三个人没事，后面没有地台。乘坐空间：标轴的宝马3没有它大，我感觉储物空间：后备箱巨大无比，而且可以放倒，钓鱼，放台球杆，真的太棒了。,动力动力：这个价位能买到百万级别的动力，真的太无解了。加速毫无顿挫，一直到底。,操控操控：一个字，无敌，地盘的滤震，??，谁开谁知道,电耗电耗：特斯拉电控我觉得是最好的，高速100左右，电耗112.还是牛逼,舒适性舒适性：这个吧，老人，我之前是宝马，感觉差不多，但是！哪个舒适...,,,,
驾驶感觉非常棒，这个级别没有谁了，加速性能秒天秒地秒空气，高科技产品，真的香,还没碰到什么不满意的地方，可能唯一不满意的就是充电对比油车来说不便利,空间前排非常宽敞，后排也非常宽敞，A4和3系的空间大小,动力100W以下没有对手，无论电车油车，都直接秒,操控超控非常好，关键是四驱，非常稳，指向非常精准，1圈的转向非常舒服,电耗百公里12-13，但是我老婆开就要到15以上不知道为什么，可能是驾驶习惯和技巧的问题,舒适性比以前的车舒适很多，80以上噪音风噪胎噪明显，但是可以接受,外观保时捷外观，19寸轮毂非常好看，出厂底盘就低,内饰内饰简单，但是个人还是喜...,,
操控和提速最舒服，平时开车习惯上车就走，不用像燃油车热车,座椅太短，开的时间久了腿不舒服，然后就是音响比较一般，对音质有要求的朋友应该不够用,"空间个人感觉一般，家用不如长轴BBA,但平时一个人两个人绝对没问题储物空间：电动车的储物空间燃油车没法比，毕竟没有机器",动力动力在市区完全够用，跑高速想变道超车也很利索，几乎感觉不到顿挫或者加速延迟,操控个人感觉后驱车不论燃油车或者电车操控都差不多，在个人开车习惯,电耗平时现在市区开感觉不是太大，有机会跑下高速实际能跑多远就比较准了,舒适性舒适性一般，和BBA比还差点，悬挂和减震都偏硬，有条件的同学可以考虑改,外观外观倒是...,,,
